"행정구역별","산업별","항목","단위","2019 년","2020 년","2021 년","2022 년","2023 년",
"팔룡동","교육서비스업","종사자수[명]","명","1576","1351","925","973","1030",
"팔룡동","보건업 및 사회복지 서비스업","사업체수[개]","개","100","104","83","84","86",
"팔룡동","보건업 및 사회복지 서비스업","종사자수[명]","명","1588","1605","966","1001","1017",
"팔룡동","예술,스포츠 및 여가관련 서비스업","사업체수[개]","개","100","106","87","98","88",
"팔룡동","예술,스포츠 및 여가관련 서비스업","종사자수[명]","명","309","251","191","188","152",
"팔룡동","협회 및 단체,수리 및 기타 개인서비스업","사업체수[개]","개","517","571","478","485","501",
"팔룡동","협회 및 단체,수리 및 기타 개인서비스업","종사자수[명]","명","1593","1536","1231","1216","1139",
"명곡동","합계","사업체수[개]","개","3816","4693","4613","4604","4583",
"명곡동","합계","여성대표자사업체수[개]","개","1601","1905","1909","1918","1927",
"명곡동","합계","종사자수[명]","명","15393","14916","14956","14848","14436",
"명곡동","합계","남자종사자수[명]","명","7900","7485","7416","7531","7149",
"명곡동","합계","여자종사자수[명]","명","7493","7431","7540","7317","7287",
"명곡동","농업,임업 및 어업","사업체수[개]","개","1","2","1","1","1",
"명곡동","농업,임업 및 어업","종사자수[명]","명","8","8","1","X","X",
"명곡동","광업","사업체수[개]","개","0","0","0","-","-",
"명곡동","광업","종사자수[명]","명","0","0","0","-","-",
"명곡동","제조업","사업체수[개]","개","236","282","277","279","230",
"명곡동","제조업","종사자수[명]","명","770","868","775","736","667",
"명곡동","전기,가스,증기 및 공기조절 공급업","사업체수[개]","개","1","8","10","7","8",
"명곡동","전기,가스,증기 및 공기조절 공급업","종사자수[명]","명","5","23","11","7","8",
"명곡동","수도, 하수 및 폐기물 처리, 원료 재생업","사업체수[개]","개","2","3","3","4","1",
"명곡동","수도, 하수 및 폐기물 처리, 원료 재생업","종사자수[명]","명","2","29","33","30","X",
"명곡동","건설업","사업체수[개]","개","369","565","546","553","542",
"명곡동","건설업","종사자수[명]","명","2620","2244","2048","2092","2157",
"명곡동"," 도매 및 소매업","사업체수[개]","개","1038","1349","1273","1247","1232",
"명곡동"," 도매 및 소매업","종사자수[명]","명","2458","2364","2275","2289","2033",
"명곡동","운수 및 창고업","사업체수[개]","개","257","298","328","329","368",
"명곡동","운수 및 창고업","종사자수[명]","명","457","454","501","541","549",
"명곡동","숙박 및 음식점업","사업체수[개]","개","627","679","708","699","696",
"명곡동","숙박 및 음식점업","종사자수[명]","명","1507","1401","1406","1506","1513",
"명곡동","정보통신업","사업체수[개]","개","19","31","33","36","35",
"명곡동","정보통신업","종사자수[명]","명","76","94","69","99","97",
"명곡동","금융 및 보험업","사업체수[개]","개","22","26","29","25","27",
"명곡동","금융 및 보험업","종사자수[명]","명","304","224","251","211","242",
"명곡동","부동산업","사업체수[개]","개","85","107","104","114","114",
"명곡동","부동산업","종사자수[명]","명","141","152","189","204","177",
"명곡동","전문,과학 및 기술 서비스업","사업체수[개]","개","110","167","155","157","155",
"명곡동","전문,과학 및 기술 서비스업","종사자수[명]","명","660","819","785","806","714",
"명곡동","사업시설관리, 사업지원 및 임대 서비스업","사업체수[개]","개","98","167","144","138","138",
"명곡동","사업시설관리, 사업지원 및 임대 서비스업","종사자수[명]","명","828","830","718","833","699",
"명곡동","공공행정,국방 및 사회보장행정","사업체수[개]","개","7","6","6","6","6",
"명곡동","공공행정,국방 및 사회보장행정","종사자수[명]","명","666","527","918","959","823",
"명곡동","교육서비스업","사업체수[개]","개","198","206","207","202","206",
"명곡동","교육서비스업","종사자수[명]","명","1238","1312","1182","1112","1012",
"명곡동","보건업 및 사회복지 서비스업","사업체수[개]","개","125","120","126","129","117",
"명곡동","보건업 및 사회복지 서비스업","종사자수[명]","명","2420","2434","2645","2246","2523",
"명곡동","예술,스포츠 및 여가관련 서비스업","사업체수[개]","개","118","125","123","130","125",
"명곡동","예술,스포츠 및 여가관련 서비스업","종사자수[명]","명","396","235","282","313","307",
"명곡동","협회 및 단체,수리 및 기타 개인서비스업","사업체수[개]","개","503","552","540","548","582",
"명곡동","협회 및 단체,수리 및 기타 개인서비스업","종사자수[명]","명","837","898","867","862","892",
"봉림동","합계","사업체수[개]","개","2974","3999","3986","3980","4026",
"봉림동","합계","여성대표자사업체수[개]","개","1331","1692","1675","1683","1714",
"봉림동","합계","종사자수[명]","명","14389","18579","19405","19472","20199",
