lat,lon,station_id,station_name,nodeno,n_routes,n_routes_dir,avg_nodeord,route_nums_sample,lat_ok,lon_ok,name_ok
35.2281842,128.6923059,CWB379000815,신월민원센터,110102,2,2,62.5,"214, 223",True,True,True
35.22798643,128.6927662,CWB379000816,신월민원센터,110103,2,2,23.5,"214, 223",True,True,True
35.22939883,128.5851675,CWB379000817,타워맨션,411206,40,40,63.9,"20, 21, 22",True,True,True
35.22941043,128.5726512,CWB379000818,메트로시티석전,408606,14,14,75.64,"50, 53, 55",True,True,True
35.22770415,128.6862128,CWB379000819,창원중부경찰서,108901,4,4,36.75,"150, 222, 3005",True,True,True
35.22778301,128.6865323,CWB379000820,창원중부경찰서,108902,6,6,35.0,"101, 150, 215",True,True,True
35.2279278,128.6792316,CWB379000821,창원시청(가로변),214210,8,8,42.5,"17, 102, 109",True,True,True
35.2291736,128.573962,CWB379000822,메트로시티석전,408605,14,14,44.21,"50, 53, 55",True,True,True
35.22793343,128.6570952,CWB379000823,충혼탑,104803,3,3,77.0,"101, 106, 213",True,True,True
35.22864907,128.5683559,CWB379000825,서마산시장,407214,8,8,79.62,"51, 54, 114",True,True,True
35.2277904,128.6583238,CWB379000827,충혼탑,219902,19,19,90.42,"10, 11, 12",True,True,True
35.22874851,128.5861293,CWB379000828,타워맨션,411205,38,38,66.76,"20, 21, 22",True,True,True
35.22884979,128.5683937,CWB379000829,서마산시장,407215,8,8,39.0,"51, 54, 114",True,True,True
35.22707826,128.6865519,CWB379000830,은아아파트후문,110002,4,4,68.0,"101, 213, 215",True,True,True
35.22709558,128.68690185,CWB379000831,불지사,110001,4,4,36.5,"101, 213, 215",True,True,True
35.2275036,128.682374,CWB379000835,시청정문,117301,7,7,37.71,"100, 107, 115",True,True,True
35.22715943,128.6574312,CWB379000836,충혼탑,119901,18,18,30.11,"10, 11, 12",True,True,True
35.2291242,128.5054326,CWB379000837,한우리아파트,401002,7,7,49.71,"51, 80, 111",True,True,True
35.22873543,128.5051002,CWB379000839,한우리아파트,401003,7,7,71.14,"51, 80, 111",True,True,True
35.22730881,128.5869178,CWB379000840,양덕광장교차로,411207,32,32,58.72,"20, 21, 22",True,True,True
35.2260625,128.6979892,CWB379000841,검찰청,219102,8,8,94.62,"110, 111, 122",True,True,True
35.22645443,128.6555832,CWB379000843,삼동.대원대동1차,118821,13,13,22.92,"10, 11, 12",True,True,True
35.22574398,128.698655,CWB379000844,검찰청,219103,8,8,18.12,"110, 111, 122",True,True,True
35.22628227,128.6550268,CWB379000845,삼동.대원대동1차,218806,13,13,120.31,"10, 11, 12",True,True,True
35.2256598,128.6957282,CWB379000846,신월동,110104,2,2,63.5,"214, 223",True,True,True
35.22571655,128.6959559,CWB379000847,신월동,110105,2,2,22.5,"214, 223",True,True,True
35.22731232,128.5741788,CWB379000848,석전동,400108,15,15,54.53,"24, 27, 49",True,True,True
35.22551343,128.6896722,CWB379000849,신월아파트,110003,3,3,40.67,"101, 213, 215",True,True,True
35.22524243,128.6897532,CWB379000850,신월아파트,110004,3,3,85.0,"101, 213, 215",True,True,True
35.22661843,128.5731882,CWB379000853,석전동,400107,9,9,82.44,"24, 71, 101",True,True,True
35.22633431,128.5892213,CWB379000854,정우맨션,411209,6,6,37.5,"49, 105, 162",True,True,True
35.22624846,128.5889766,CWB379000855,정우맨션,411208,6,6,103.0,"49, 105, 162",True,True,True
35.22491724,128.6556283,CWB379000857,대원파크빌아파트,207901,8,8,43.38,"114, 116, 152",True,True,True
35.22490546,128.65591772,CWB379000858,월드메르디앙아파트,207902,7,7,53.0,"114, 116, 152",True,True,True
35.22436412,128.6916955,CWB379000860,신월주공아파트,110005,3,3,39.67,"101, 213, 215",True,True,True
35.22431796,128.677381,CWB379000861,중앙동,213305,11,11,44.36,"17, 102, 107",True,True,True
35.22422143,128.6775482,CWB379000864,중앙동,213306,10,10,53.6,"17, 102, 107",True,True,True
35.22392143,128.6920842,CWB379000865,신월주공아파트,110006,3,3,86.0,"101, 213, 215",True,True,True
35.22510057,128.5874688,CWB379000867,양덕광장교차로,421904,29,29,73.31,"20, 21, 22",True,True,True
35.22324998,128.6824166,CWB379000868,수협경남금융본부,208905,2,2,48.5,"150, 213",True,True,True
35.22609495,128.5045027,CWB379000869,이미지아파트입구,401001,7,7,72.14,"51, 80, 111",True,True,True
35.22337819,128.7003512,CWB379000870,창원축구센터.법원,219105,8,8,17.12,"110, 111, 122",True,True,True
35.22366235,128.6830257,CWB379000871,수협경남금융본부,208906,3,3,52.33,"150, 213, 901",True,True,True
35.22329942,128.6999664,CWB379000872,창원축구센터.법원,219104,7,7,106.43,"110, 111, 122",True,True,True
35.22485431,128.57951086,CWB379000873,문화방송,408610,10,10,60.2,"46, 49, 53",True,True,True
35.22366143,128.6604682,CWB379000876,올림픽공원,218801,5,5,35.4,"108, 114, 115",True,True,True
