순번,정류소 아이디,정류소명,방면,X좌표,Y좌표
436,630189,남산중학교,남산고등학교 방면,128.6988742,35.20341243
437,630190,남산중학교,남산버스정류소 방면,128.6998232,35.20300343
438,200406,남산초등학교,대방동종점 방면,128.7028262,35.20602543
439,200405,남산초등학교,피오르빌아파트 방면,128.7033702,35.20549043
440,219114,남양개나리3차아파트,,128.7054671,35.21116602
441,219110,남양동성APT.노인종합복지관,,128.704464,35.21465658
442,219116,남양동주택,,128.706239,35.20835555
443,204301,남양성원1차아파트,,128.7015622,35.21089043
444,219112,남양성원2차아파트,남양개나리3차아파트 방면,128.7049846,35.21288144
445,204303,남양성원2차아파트,남양성원1차아파트 방면,128.7046812,35.21163742
446,200401,남양초등학교,,128.6991202,35.21023343
447,520301,남원로타리,진해청소년전당 방면,128.6597162,35.14630604
448,520302,남원로타리,진해남산초등학교 방면,128.6602542,35.14601743
449,212201,남창원역,남창원역 방면,128.6643827,35.2090387
450,212202,남창원역,지성큐엔텍 방면,128.6633832,35.20755243
451,201215,남창원역,세아제강 방면,128.6624191,35.20748313
452,201216,남창원역,LG산전 방면,128.6632084,35.20672152
453,116521,남포마을,,128.7056219,35.31010336
454,116520,남포회관,,128.7091119,35.30998606
455,522202,남흥아파트,우림필유 방면,128.6955297,35.15351647
456,522201,남흥아파트,이동택지사거리 방면,128.6951363,35.15355071
457,103101,내감,감계휴먼빌 방면,128.5934466,35.3005004
458,103102,내감,중방마을 방면,128.5933454,35.3005064
459,513805,내곡마을,웅동농협앞 방면,128.7876079,35.12298621
460,513806,내곡마을,청안해오름 방면,128.7877021,35.12275399
461,630173,내덕,,128.8269132,35.20523917
462,630174,내덕,,128.8276654,35.20562158
463,630397,내덕서희,,128.82454484,35.2050673
464,630398,내덕서희,,128.82540311,35.20539456
465,212205,내동민원센터,지성큐엔텍 방면,128.6705552,35.21632743
466,212206,내동민원센터,창원병원 방면,128.6708502,35.21630343
467,640540,내동사거리,,128.86313349,35.24144854
468,640541,내동사거리,,128.86392584,35.24175175
