정류소ID,서비스ID,정류소명,방면,유형,설치유형,관할관청,X좌표,Y좌표,방위각,동코드,수정일,생성일
379000443,118802,경남테크노파크,팔용사거리 방면,0,,379,128.6078276,35.25327028,0,팔용동,2023.5.26 17:48,2023.5.26 17:48
379002297,118801,경남테크노파크,한국전력 방면,0,,379,128.6067947,35.254398,0,소계동,2023.5.26 17:48,2023.5.26 17:48
379006014,,경남테크노파크(가상),,0,,,128.6079515,35.25323573,,,,2024.3.28 14:58
379006015,,경남테크노파크(가상),,0,,,128.6067206,35.25446874,,,,2024.3.28 14:59
379001312,300116,경동메르빌APT,마산합포구청.의료원 방면,0,,379,128.5667974,35.1947319,0,중앙동2가,2023.5.26 17:48,2023.5.26 17:48
379001313,300113,경동메르빌APT,중부경찰서 방면,0,,379,128.5665542,35.19474443,0,중앙동2가,2023.5.26 17:48,2023.5.26 17:48
379000397,109402,경상고교,,0,,379,128.597436,35.25903538,0,소계동,2023.5.26 17:48,2023.5.26 17:48
379002378,102601,경상고등학교,한보아파트 방면,0,,379,128.5982512,35.25968044,0,소계동,2024.9.6 14:58,2023.5.26 17:48
379005373,109407,경상고등학교,,0,,379,128.598279,35.25960264,,,2023.5.26 17:48,2023.5.26 17:48
379002381,109403,경상아파트,,0,,379,128.5974232,35.25891644,0,소계동,2023.5.26 17:48,2023.5.26 17:48
379003461,630355,경일글로벌로지스틱스,국제물류 방면,0,,379,128.7678458,35.08699039,0,남문동,2024.9.6 16:03,2023.5.26 17:48
379005423,523331,경제자유구역청,,0,,379,128.8403889,35.08557791,,,2023.7.28 13:32,2023.5.26 17:48
379005424,523332,경제자유구역청,,0,,379,128.8399686,35.08578256,,,2023.5.26 17:48,2023.5.26 17:48
379005823,640589,경제자유구역청,,0,,,128.8392447,35.08625992,,,,2023.7.28 13:05
379005824,640590,경제자유구역청,,0,,,128.8396737,35.08619934,,,,2023.7.28 13:05
379005421,523329,경제자유구역청사거리,,0,,379,128.8386299,35.08878363,,,2023.7.28 13:33,2023.5.26 17:48
379005422,523330,경제자유구역청사거리,,0,,379,128.8386564,35.08911217,,,2023.7.28 13:33,2023.5.26 17:48
379000927,208903,경창상가,상남대우아파트 방면,0,,379,128.6796451,35.21990836,0,상남동,2023.5.26 17:48,2023.5.26 17:48
379000931,208904,경창상가,수협경남금융본부 방면,0,,379,128.6796226,35.21960268,0,상남동,2023.5.26 17:48,2023.5.26 17:48
379002564,516302,경화가압장,경화두산위브아파트 방면,0,,379,128.6841943,35.15925071,0,경화동,2023.5.26 17:48,2023.5.26 17:48
379002565,516301,경화가압장,경화동 방면,0,,379,128.6840822,35.15940443,0,경화동,2023.5.26 17:48,2023.5.26 17:48
379002557,516404,경화대동다숲,삼정코아 방면,0,,379,128.6810826,35.16091587,0,경화동,2023.5.26 17:48,2023.5.26 17:48
379002558,516403,경화대동다숲,경화포스코 방면,0,,379,128.6809769,35.16099864,0,경화동,2023.5.26 17:48,2023.5.26 17:48
379001494,518115,경화동,경화육교 방면,0,,379,128.6833189,35.15825456,0,경화동,2024.4.24 16:42,2023.5.26 17:48
379001495,518114,경화동,경화역 방면,0,,379,128.6841313,35.15826856,0,경화동,2023.5.26 17:48,2023.5.26 17:48
379002562,516303,경화두산위브아파트,경화가압장 방면,0,,379,128.6849148,35.16096615,0,경화동,2023.5.26 17:48,2023.5.26 17:48
379002563,516304,경화두산위브아파트,삼정코아 방면,0,,379,128.6850883,35.1610408,0,경화동,2023.5.26 17:48,2023.5.26 17:48
379001526,519820,경화성당,,0,,379,128.6869288,35.15340175,0,경화동,2023.5.26 17:48,2023.5.26 17:48
379001523,519821,경화시장,경화우체국 방면,0,,379,128.6899291,35.15375018,0,경화동,2023.5.26 17:48,2023.5.26 17:48
379001524,519822,경화시장,염전사거리 방면,0,,379,128.6912891,35.15357963,0,이동,2023.5.26 17:48,2023.5.26 17:48
379001491,518117,경화역,경화동 방면,0,,379,128.6863744,35.15887932,0,경화동,2023.5.26 17:48,2023.5.26 17:48
379001493,518116,경화역,진해남중 방면,0,,379,128.686471,35.1587062,0,경화동,2023.5.26 17:48,2023.5.26 17:48
379001525,519819,경화우체국,,0,,379,128.6858222,35.15356543,0,경화동,2023.5.26 17:48,2023.5.26 17:48
379001501,518112,경화육교,경화동 방면,0,,379,128.6816094,35.15764096,0,경화동,2023.5.26 17:48,2023.5.26 17:48
379001502,518113,경화육교,산상교회 방면,0,,379,128.6803154,35.15753982,0,경화동,2023.5.26 17:48,2023.5.26 17:48
379002555,516402,경화포스코,경화대동다숲 방면,0,,379,128.6799932,35.15961514,0,경화동,2023.5.26 17:48,2023.5.26 17:48
379002556,516401,경화포스코,원창시인의마을 방면,0,,379,128.6797601,35.15954465,0,경화동,2023.5.26 17:48,2023.5.26 17:48
379005694,640514,계내,,0,,385,128.9141402,35.24176979,,,2024.9.6 15:15,2023.5.26 17:48
379005695,640515,계내,,0,,385,128.9149439,35.24103162,,,2024.9.6 15:15,2023.5.26 17:48
